uid,city,gps,pictures,surface details,quantity,Notes
937428,manhattan,"40.7675615, -73.9900951",937428_rgb_unlabeled.jpg (https://dl.airtable.com/vuJtIy6cSs2yy1q4Rh3R_937428_rgb_unlabeled.jpg),"air-vents,small-building,multi-level,enclosed-water-tower","1, 2, 2, 17",
675199,manhattan,"40.7673462,  -73.9894818","675199_rgb_unlabeled.jpg (https://dl.airtable.com/TCjHZJxgSeaUgyHMGN9Y_675199_rgb_unlabeled.jpg),675199_lidar_unlabeled.png (https://dl.airtable.com/0QdwUC9qTUa6y7HcYd8J_675199_lidar_unlabeled.png)","small-rooftop-entrance,air-vents","1, 2",
828544,manhattan,"40.76513, -73.98733",828544_rgb_unlabeled.jpg (https://dl.airtable.com/vcYj7jjjQSGNvKhzQH6P_828544_rgb_unlabeled.jpg),empty,1,
287290,manhattan,"40.7662, -73.9865","287290_lidar_unlabeled.png (https://dl.airtable.com/yBtl9ENTKuAaJQy1urwD_287290_lidar_unlabeled.png),287290_rgb_unlabeled.jpg (https://dl.airtable.com/862gFFSGSPmHPxC1GgWG_287290_rgb_unlabeled.jpg)","small-rooftop-entrance,ac-unit,chimney","3, 3, 2",
338004,manhattan,"40.76776, -73.98988",338004_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/fe8f62304f31bf4e74cd48fc2d0472e9/a9bdd98a),"small-rooftop-entrance,air-vents,billboard","1, 4, 1",
252956,manhattan,"40.76788, -73.99003",252956_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/c755aee71145a57c8ed582283205f38a/ef4d2174),"small-rooftop-entrance,air-vents","4, 1",
157037,manhattan,"40.76738, -73.98905","157037_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/4dfbc5d8bbc30d6333ac3c61f3335a0d/aa41f768),157037_lidar_unlabeled.png (https://dl.airtable.com/.attachments/a7b670258bca9370e6df5b12150103a4/d2d1b994)","small-building,ac-unit","1, 2",
117413,manhattan,"40.76705, -73.98919",117413_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/12a9787c2f6c8e99c3f9921463aa7ead/a38e66cd),"water-tower,chimney,small-building,air-vents","4, 2, 1, 1",
546047,manhattan,"40.76688, -73.98869","546047_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/0700f88dd715a9848354026d18e8d568/8e21fd6e),546047_lidar_unlabeled.png (https://dl.airtable.com/.attachments/5aed7ea5fe3ebe6d17a5631df698a93f/6103eb9d)","small-building,small-rooftop-entrance,skylight","4, 1, 2",
370363,manhattan,"40.76685, -73.98861",370363_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/9678976b07e2f472887a966ddfa2115b/2fbe1924),small-rooftop-entrance,1,
702415,manhattan,"40.76681, -73.98853",702415_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/809ffcfd2740c79f710c13cbe8747f81/e7836e14),small-rooftop-entrance,1,
319704,manhattan,"40.76715, -73.98854",319704_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/cb95041995e0bdb8401431c24c69e85d/248a64e0),"small-building,ac-unit","4, 3",
